StateID,Year,Quarter,TotalProd,TaxableBottlesCansProd,TaxableKegsProd,TaxablePremUseProd,TaxFreeExportProd,TaxFreePremUseProd,StocksOnHand
SC,2017,Q4,17245.11,4254.96,4905.03,7287.05,,169.66,11191.88
SD,2017,Q4,3272.58,,,1909.35,0.0,,1774.13
TN,2017,Q4,380901.12,,15577.07,11129.95,,800.22,98802.86
TX,2017,Q4,4924198.62,4278414.02,260861.44,37001.22,,1820.78,929703.09
UT,2017,Q4,45783.8,25669.78,10867.54,2053.81,,,12786.62
VT,2017,Q4,90388.98,46828.43,16582.5,4457.75,,,20338.15
VA,2017,Q4,3181478.99,2772563.25,322110.64,28892.29,,342.78,564436.87
WA,2017,Q4,129257.67,42987.68,52037.91,24397.75,,966.55,37912.52
WV,2017,Q4,2880.63,,925.28,1780.58,0.0,,1147.44
WI,2017,Q4,2407303.88,1925305.66,,16334.76,21278.75,313.29,735267.07
WY,2017,Q4,11110.48,,1630.7,7519.74,0.0,208.42,3418.68
AL,2018,Q1,13456.25,,2548.46,7954.52,0.0,145.09,4899.98
AK,2018,Q1,49548.9,,13664.12,4863.09,,121.31,14306.25
AZ,2018,Q1,47567.28,13803.57,17720.13,12622.99,0.0,500.02,8134.84
AR,2018,Q1,6242.87,2006.33,1233.81,2266.57,0.0,,2884.34
CA,2018,Q1,5341151.22,3736868.7,538250.24,86471.99,,3339.95,1398948.69
CO,2018,Q1,4658967.93,3256826.94,375510.45,44425.39,,2614.36,1838309.49
CT,2018,Q1,55410.39,28009.36,11912.62,7498.0,,247.22,17788.82
DE,2018,Q1,,,,2747.44,0.0,0.0,
DC,2018,Q1,7163.25,,,2646.06,0.0,,3929.43
FL,2018,Q1,,,326122.46,36326.59,,1128.75,579828.65
GA,2018,Q1,3925815.93,3240341.87,119004.19,15092.72,,884.6,855803.6
HI,2018,Q1,19946.05,,9173.05,3075.34,,152.52,5224.32
ID,2018,Q1,9732.26,3404.65,4436.12,2716.55,0.0,,6120.6
IL,2018,Q1,359247.28,244759.2,53386.82,30496.41,,1191.84,93365.5
IN,2018,Q1,47730.36,16891.63,14549.1,11012.83,0.0,429.78,16360.2
IA,2018,Q1,23244.83,1066.71,1643.45,16813.64,0.0,171.06,8774.84
KS,2018,Q1,6950.98,,1613.82,3113.95,0.0,186.89,2342.33
KY,2018,Q1,44642.26,26246.48,7214.44,9491.47,,,32211.53
LA,2018,Q1,55782.35,,,6306.29,,111.22,
ME,2018,Q1,65343.92,22857.52,25379.94,8147.84,0.0,253.51,30850.29
MD,2018,Q1,61943.44,28902.75,16413.46,7237.45,,680.76,25722.84
MA,2018,Q1,137977.13,65271.36,38649.49,14491.81,,338.79,46085.44
MI,2018,Q1,373725.54,215640.94,91514.95,32479.39,,1430.64,132541.02
MN,2018,Q1,153719.51,68614.38,36907.12,18736.48,,425.15,61720.63
MS,2018,Q1,5589.73,,,2281.15,0.0,,1549.66
MO,2018,Q1,,,,7110.15,,289.87,
MT,2018,Q1,40796.03,13914.65,10618.6,10121.66,,310.62,16400.52
NE,2018,Q1,12517.02,3081.59,2745.55,5596.81,0.0,218.89,3778.77
NV,2018,Q1,15470.39,2088.5,5061.5,6359.42,0.0,,7637.35
NH,2018,Q1,,,,8716.01,,270.96,
NJ,2018,Q1,,,,11771.89,,929.32,
NM,2018,Q1,25932.7,10159.17,9417.08,4663.37,0.0,102.7,10845.46
NY,2018,Q1,2131876.25,1658810.16,120068.61,28378.12,36691.03,1313.86,754108.15
NC,2018,Q1,307964.61,209947.87,69855.04,32648.74,,220.12,152525.49
ND,2018,Q1,1879.34,0.0,,1463.09,0.0,,947.65
OH,2018,Q1,4510931.85,3835683.9,338018.49,22207.38,,750.65,940063.9
OK,2018,Q1,4604.93,0.0,,3856.52,0.0,148.39,1283.06
OR,2018,Q1,404818.72,234237.03,97890.34,27571.45,,1473.68,124655.82
PA,2018,Q1,1338290.78,864389.25,227213.94,20741.99,,1120.71,462483.02
RI,2018,Q1,10609.49,4034.04,2045.89,3216.97,0.0,,4084.09
SC,2018,Q1,19565.68,4203.45,4034.78,8563.93,,56.24,13626.3
SD,2018,Q1,3124.03,,,2074.59,0.0,,1935.45
TN,2018,Q1,407104.38,322063.27,13482.83,12699.6,,866.41,115503.04
TX,2018,Q1,5144379.39,3977140.46,276295.62,40398.95,,2327.21,1062895.26
UT,2018,Q1,59878.09,28080.27,14196.4,2264.44,,,17181.19
VT,2018,Q1,86410.61,41337.23,14260.2,6235.07,,9.11,20345.15
VA,2018,Q1,3142146.64,2527484.99,319340.32,29326.88,,627.79,709462.56
WA,2018,Q1,138059.06,42698.76,52934.58,31244.57,68.31,1078.2,41897.63
WV,2018,Q1,2904.36,,811.62,1825.68,0.0,,1348.73
WI,2018,Q1,2889285.74,2193586.12,,16046.3,18079.04,283.93,863818.51
WY,2018,Q1,12299.92,,,7853.42,0.0,,3453.81
AL,2018,Q2,17619.64,,2736.41,11113.39,0.0,566.62,6421.07
AK,2018,Q2,59071.61,,19039.47,9852.2,,170.92,12595.05
AZ,2018,Q2,51362.5,15940.97,20333.14,12819.9,0.0,483.34,8337.76
AR,2018,Q2,9601.35,,423.98,8537.0,0.0,,3238.25
CA,2018,Q2,5767631.0,4221091.61,541527.42,99933.11,,3856.29,1425699.8
CO,2018,Q2,5621064.73,4653554.14,424898.45,51631.77,,2901.51,1786122.46
CT,2018,Q2,63688.66,31879.61,15395.61,6844.56,,352.99,20086.24
DE,2018,Q2,,,,3795.21,0.0,,
DC,2018,Q2,7530.89,,,1839.46,0.0,,3686.03
FL,2018,Q2,,,306241.27,33282.22,21657.43,1450.02,606798.21
GA,2018,Q2,4308215.09,3681073.22,122239.96,13756.69,,715.37,888896.42
HI,2018,Q2,21453.91,,8689.71,3300.64,,209.06,6099.62
ID,2018,Q2,10039.83,4110.52,3884.53,3528.41,0.0,,5923.58
IL,2018,Q2,468052.87,341925.44,61155.63,35423.84,,1227.16,93772.58
IN,2018,Q2,50931.52,17547.93,13930.54,13344.89,,475.67,16013.89
IA,2018,Q2,29342.23,1193.98,2108.94,22118.41,0.0,212.29,9130.77
KS,2018,Q2,7626.86,,1637.37,3605.78,0.0,,2259.48
KY,2018,Q2,48428.12,42249.55,7964.05,8205.09,,262.37,26778.59
LA,2018,Q2,53600.92,,12883.83,7232.15,,131.16,22544.04
ME,2018,Q2,70999.05,28306.94,29926.7,14458.08,0.0,190.43,24550.6
MD,2018,Q2,101143.96,68235.18,18514.9,8847.74,,647.57,31414.36
MA,2018,Q2,171647.04,85219.97,50614.67,17760.15,,524.32,47541.11
MI,2018,Q2,452184.16,267329.88,109791.05,35626.53,,1355.26,131753.51
MN,2018,Q2,192138.75,94811.65,40228.83,24345.45,0.0,669.49,73960.08
MS,2018,Q2,6111.79,,,3101.53,0.0,,1664.77
MO,2018,Q2,,,,7904.14,,601.42,
MT,2018,Q2,49814.62,19075.61,12516.3,13449.86,,424.62,18235.35
NE,2018,Q2,13118.01,3643.21,2904.84,6462.38,,192.63,3571.71
NV,2018,Q2,16860.11,2847.54,5142.42,6582.63,0.0,,4022.76
NH,2018,Q2,,,,10334.83,,151.79,
NJ,2018,Q2,,,,16598.1,,709.54,
NM,2018,Q2,27273.54,10874.45,8529.74,5772.73,,139.28,9813.66
NY,2018,Q2,2522254.3,2154230.84,132111.78,36854.1,46611.83,944.4,691965.93
NC,2018,Q2,383139.84,267455.82,86317.62,41633.65,,479.96,160754.62
ND,2018,Q2,1951.89,0.0,,1580.69,0.0,,1269.64
OH,2018,Q2,5287984.48,4631653.17,370513.47,28479.61,,1338.69,948113.62
OK,2018,Q2,4203.15,0.0,,3362.6,0.0,154.95,1449.98
OR,2018,Q2,452945.25,274277.5,110622.27,35367.06,,1762.38,119202.77
PA,2018,Q2,1567393.65,1145167.08,235895.59,22669.51,26660.93,1810.77,458242.34
RI,2018,Q2,18525.52,8550.02,4483.75,3793.56,0.0,0.0,4993.2
SC,2018,Q2,24778.11,6394.64,4820.24,10035.73,,237.69,13425.63
SD,2018,Q2,3706.36,,,2568.33,0.0,,1801.17
TN,2018,Q2,557773.2,436264.42,17260.2,14906.18,,930.46,162173.89
TX,2018,Q2,5892958.22,4783165.14,289864.2,45773.49,,2304.92,1105098.98
UT,2018,Q2,61781.6,30861.45,14487.27,2867.62,0.0,,16461.67
VT,2018,Q2,99665.57,47890.76,18098.83,3798.41,0.0,25.19,24554.15
VA,2018,Q2,4239849.53,3589760.15,352034.83,35414.07,,309.44,790813.8
WA,2018,Q2,151559.7,44887.06,59779.78,34412.52,,1298.67,44659.52
WV,2018,Q2,2536.51,,606.98,1854.27,0.0,,1226.49
WI,2018,Q2,3318731.63,2697632.9,,20061.89,22336.12,540.41,834485.83
WY,2018,Q2,15531.49,,5843.92,2553.72,,,4172.88
AL,2018,Q3,17543.53,,2220.29,12709.65,0.0,167.97,6878.74
AK,2018,Q3,57665.52,,16976.64,10451.6,,335.75,14838.64
AZ,2018,Q3,45187.97,13618.22,16513.29,11385.16,0.0,573.83,9088.49
AR,2018,Q3,8908.17,,405.37,7452.76,0.0,,4747.19
CA,2018,Q3,5674776.86,4430778.37,524314.58,99757.82,,3296.98,1351686.78
CO,2018,Q3,5458999.8,4535217.73,413234.9,47573.07,144262.89,3202.36,1629862.53
CT,2018,Q3,58094.31,33121.98,13401.7,5814.61,,108.89,18611.97
DE,2018,Q3,,,,4025.63,0.0,,
DC,2018,Q3,8470.09,,,3027.92,0.0,0.0,3999.28
FL,2018,Q3,,,282705.6,37191.32,,1243.75,609812.38
GA,2018,Q3,4263108.26,3634692.49,107418.95,11635.52,,680.01,936018.87
HI,2018,Q3,24211.16,,9032.66,3661.92,,192.06,7225.26
ID,2018,Q3,10410.79,4777.26,4429.38,4063.27,0.0,,5582.74
IL,2018,Q3,434649.16,315615.61,55513.24,37430.16,,1522.74,95726.97
IN,2018,Q3,53426.51,17249.75,15328.95,14006.93,0.0,364.13,18471.41
IA,2018,Q3,29401.26,,2204.52,22694.28,0.0,161.71,8868.31
KS,2018,Q3,6957.53,,1489.4,3228.55,0.0,,2508.66
KY,2018,Q3,45783.91,35930.22,7026.13,8447.39,,287.87,22466.98
LA,2018,Q3,46429.69,,9607.25,6889.86,,309.07,
ME,2018,Q3,66135.72,21391.99,27302.85,15949.92,,244.5,23332.93
MD,2018,Q3,91115.61,65499.41,17804.91,7562.23,,955.47,28394.16
MA,2018,Q3,150998.4,78931.85,44287.29,16108.95,,323.0,39652.36
MI,2018,Q3,388587.56,229497.29,88198.16,39906.55,,1457.72,127095.65
MN,2018,Q3,227600.44,134195.38,41229.57,27033.52,0.0,373.91,80346.71
MS,2018,Q3,6084.08,,,3131.86,,,1620.7
MO,2018,Q3,,,,8614.84,,674.55,
MT,2018,Q3,48999.22,17470.16,12395.03,14479.95,,573.41,16917.89
NE,2018,Q3,14914.79,3413.83,2882.33,7088.94,0.0,205.74,4854.4
NV,2018,Q3,15734.52,3379.24,5689.67,4388.65,0.0,,3904.38
NH,2018,Q3,,,,10562.93,,250.93,
NJ,2018,Q3,,,,17714.19,,724.28,
NM,2018,Q3,31083.64,13458.51,9891.02,5600.14,0.0,330.45,10951.1
NY,2018,Q3,2442654.15,2053255.07,142843.89,39492.75,46402.81,1120.7,625203.14
NC,2018,Q3,339243.87,232573.04,71098.48,40379.64,,432.78,161119.3
ND,2018,Q3,2276.54,0.0,,1889.01,0.0,,1546.93
OH,2018,Q3,4618305.03,4182497.12,339388.96,31400.49,,1146.56,795780.78
OK,2018,Q3,6544.33,,,4914.55,0.0,,2633.57
OR,2018,Q3,448528.82,265501.79,109314.32,39054.68,,1231.65,121564.43
PA,2018,Q3,1565781.12,1175608.79,238118.01,25197.9,,1891.43,453189.59
RI,2018,Q3,21093.73,10721.42,5133.93,4669.98,0.0,,4385.01
SC,2018,Q3,23992.66,5135.17,3069.32,10383.22,,210.56,12810.96
SD,2018,Q3,4376.65,,,2882.92,0.0,,1610.04
TN,2018,Q3,559361.04,509483.25,12120.92,15005.74,,887.67,142934.12
TX,2018,Q3,6450131.57,4629722.34,267843.77,41670.25,,2109.08,1119250.55
UT,2018,Q3,55937.68,29128.91,12707.49,2387.77,0.0,,17248.75
VT,2018,Q3,103049.76,52399.74,18919.94,5513.33,,12.64,21478.45
VA,2018,Q3,3903437.69,3449843.44,319880.35,31549.35,,296.19,609755.3
WA,2018,Q3,176406.12,57583.71,65776.96,38322.63,,2836.35,58083.83
WV,2018,Q3,3265.71,,1058.64,1983.31,0.0,,1355.63
WI,2018,Q3,3000143.94,2421403.9,,21436.41,14287.2,428.81,760730.66
WY,2018,Q3,11440.61,,4879.16,2748.64,,,3076.3
AL,2018,Q4,16787.65,,2403.51,11016.24,0.0,151.49,8302.16
AK,2018,Q4,39498.66,,13377.3,6458.77,0.0,106.11,10763.32
AZ,2018,Q4,53876.07,13505.01,19093.6,12177.67,0.0,,9297.13
AR,2018,Q4,8247.42,,325.24,7292.27,0.0,130.72,2568.84
CA,2018,Q4,4811313.09,3823175.18,492217.0,97557.59,,2422.2,1290877.51
CO,2018,Q4,4662423.98,4014433.4,386295.14,41609.94,,2615.42,1374410.95
CT,2018,Q4,47354.1,24617.9,10335.69,25489.61,,355.95,9052.94
DE,2018,Q4,,,,3248.52,0.0,,
DC,2018,Q4,6730.78,,,2583.77,0.0,,3632.35
FL,2018,Q4,,,295324.18,38952.03,21915.79,1805.23,551200.26
GA,2018,Q4,3576778.24,3111157.86,112583.88,12991.77,,477.32,873664.88
HI,2018,Q4,18744.24,,7926.0,2455.56,,151.99,6537.72
ID,2018,Q4,7642.3,2954.27,3235.58,3379.51,0.0,,5868.71
IL,2018,Q4,399881.76,308337.63,51142.9,34150.13,,733.81,82440.8
IN,2018,Q4,47972.77,17246.21,13825.17,13043.22,0.0,253.06,20344.28
IA,2018,Q4,27784.87,,3399.54,13631.39,,160.76,9941.89
KS,2018,Q4,7006.43,,1601.77,3094.29,0.0,,2549.59
KY,2018,Q4,43417.99,25257.34,6448.44,7084.92,,298.33,26509.57
LA,2018,Q4,45204.22,,11309.76,7876.53,,269.51,
ME,2018,Q4,52154.39,15673.84,21517.75,11210.91,0.0,144.51,23434.72
MD,2018,Q4,83985.32,61916.8,18239.03,7847.93,,1038.68,30053.36
MA,2018,Q4,123369.96,64489.35,34453.73,17889.7,598.34,245.23,29458.87
MI,2018,Q4,303849.26,195054.79,75617.03,35892.45,,1672.6,120284.12
MN,2018,Q4,195209.98,144643.19,34276.4,23104.37,,471.14,69333.65
MS,2018,Q4,5470.07,,,2888.07,,,1545.64
MO,2018,Q4,,,,7630.8,,878.57,
MT,2018,Q4,40263.97,13149.2,8944.11,11761.07,,420.83,18043.98
NE,2018,Q4,12804.49,2975.6,2684.5,6655.48,0.0,283.82,4528.56
NV,2018,Q4,16656.32,4041.13,5732.45,5115.07,0.0,,3698.82
NH,2018,Q4,,,,11403.48,0.0,308.99,
NJ,2018,Q4,,,,15381.6,,729.72,
NM,2018,Q4,32232.44,13720.81,9980.96,5744.06,0.0,272.1,13308.88
NY,2018,Q4,1972283.83,1585270.1,100193.44,39186.45,26600.32,1141.89,644988.89
NC,2018,Q4,325642.31,229731.38,72884.47,71486.22,,442.26,155467.59
ND,2018,Q4,2390.27,,,1793.45,0.0,,1091.41
OH,2018,Q4,4115721.46,3559949.94,317959.25,28501.33,,911.51,837820.68
OK,2018,Q4,6229.17,,,4866.61,0.0,,2624.42
OR,2018,Q4,364208.67,217816.58,88298.82,29536.94,,1060.9,113475.08
PA,2018,Q4,1162925.93,950655.69,208439.39,23312.79,18845.78,1327.35,356829.64
RI,2018,Q4,17787.41,8962.77,3967.11,4278.86,0.0,,4075.58
SC,2018,Q4,19467.53,3749.61,2805.76,9749.69,,379.72,14731.85
SD,2018,Q4,3604.23,,,2224.33,0.0,,1775.13
TN,2018,Q4,538601.15,483173.85,11267.53,14965.11,,,117595.82
TX,2018,Q4,4273960.96,3610654.4,253291.22,43208.77,,1996.11,978109.92
UT,2018,Q4,45879.55,22747.14,9843.06,3033.07,,,15555.07
VT,2018,Q4,86162.82,45544.42,15341.57,4874.57,0.0,13.56,17424.33
VA,2018,Q4,3333789.34,2810999.43,296116.4,30396.44,,309.81,603051.28
WA,2018,Q4,141318.62,44327.62,51394.69,33578.54,,865.95,67227.17
WV,2018,Q4,2875.35,,801.44,2139.9,0.0,,1370.24
WI,2018,Q4,2335088.64,1911920.69,,18633.91,10804.02,285.09,638845.56
WY,2018,Q4,8628.29,,3413.11,2142.3,,,3397.66
AL,2019,Q1,16953.88,,2193.75,10478.06,0.0,,7964.99
AK,2019,Q1,42415.42,,11233.53,7334.82,,100.07,13153.9
AZ,2019,Q1,52992.09,15253.26,20908.48,14546.36,0.0,661.92,9190.14
AR,2019,Q1,8476.36,,1159.55,4092.73,0.0,,2978.65
CA,2019,Q1,4857908.2,3584543.52,496344.94,89949.3,,3113.51,1343783.63
CO,2019,Q1,4954843.69,3816768.55,398659.45,39331.7,,2835.22,1643253.0
CT,2019,Q1,49372.81,27885.84,11082.62,6525.83,,526.7,16350.15
DE,2019,Q1,,,,3289.63,0.0,,
DC,2019,Q1,7007.44,,,2822.8,0.0,,3183.36
FL,2019,Q1,,,322997.59,50077.22,17466.15,2321.42,576339.84
GA,2019,Q1,3953170.06,3382591.72,135105.19,10254.15,,449.48,942705.4
HI,2019,Q1,20945.72,,8880.85,3877.63,,170.02,6047.9
ID,2019,Q1,7398.0,2680.56,3059.68,3209.83,0.0,258.92,5859.55
IL,2019,Q1,396487.18,285589.67,50191.23,27626.71,,928.11,85626.1
IN,2019,Q1,51871.89,16349.3,14019.65,13151.08,0.0,414.12,22989.18
IA,2019,Q1,27209.08,,3621.02,13468.03,,161.81,10631.06
KS,2019,Q1,7348.35,,1637.97,3422.21,0.0,,2872.79
KY,2019,Q1,44078.93,25014.17,4407.38,7594.49,0.0,96.25,19837.13
LA,2019,Q1,53704.64,,,10885.26,,300.84,
ME,2019,Q1,54042.16,15748.52,23047.74,9763.57,,,22301.75
MD,2019,Q1,97424.5,68340.33,17271.18,8409.24,,867.95,35517.06
MA,2019,Q1,136650.8,58377.89,35084.44,18921.6,,339.77,44844.91
MI,2019,Q1,382743.16,213833.15,86313.12,31261.03,,974.94,153944.77
MN,2019,Q1,268964.58,170682.88,31362.23,18170.2,,292.12,112849.52
MS,2019,Q1,6242.99,,,2862.32,0.0,,1668.1
MO,2019,Q1,,,,7950.72,,498.35,
MT,2019,Q1,41398.43,12246.34,9622.16,12180.55,0.0,736.81,18507.36
NE,2019,Q1,13717.59,,2259.7,6381.62,0.0,363.76,4750.17
NV,2019,Q1,19315.84,4194.17,6382.38,5901.68,0.0,,3142.4
NH,2019,Q1,,,,10679.85,,340.1,
NJ,2019,Q1,,,,24987.15,,542.0,
NM,2019,Q1,29897.16,12399.93,9429.65,5908.8,0.0,313.09,13489.8
NY,2019,Q1,2243365.07,1811396.42,108683.29,45771.45,20601.58,1090.62,708078.99
NC,2019,Q1,318660.68,211024.93,72024.77,36131.29,,467.63,156018.62
ND,2019,Q1,2622.65,0.0,,2142.83,0.0,15.66,1137.71
OH,2019,Q1,4506075.34,3782483.64,331644.0,26282.57,,929.92,961561.08
OK,2019,Q1,6836.16,,,5165.25,0.0,184.67,3310.51
OR,2019,Q1,387234.41,217792.08,82513.52,28452.69,,1151.11,131328.5
PA,2019,Q1,1447272.11,1068256.11,188441.67,21598.14,21729.83,1500.73,398320.63
RI,2019,Q1,19616.77,8442.96,3982.7,4206.64,0.0,236.81,5888.39
SC,2019,Q1,21259.18,4227.26,2782.98,10440.17,,450.23,13227.44
SD,2019,Q1,3078.84,,,2193.94,0.0,,1857.87
TN,2019,Q1,670705.95,547980.65,10727.32,15590.21,,803.79,156590.35
TX,2019,Q1,4917042.72,4021818.47,271727.94,46141.47,,1658.87,1109137.71
UT,2019,Q1,42308.98,18371.25,9261.05,4425.19,,,15984.2
VT,2019,Q1,92002.9,40694.28,16453.14,7518.22,0.0,12.29,22464.31
VA,2019,Q1,3478258.48,2767035.65,299529.64,36648.42,,358.85,713214.05
WA,2019,Q1,141770.84,42185.04,49597.37,34626.31,,790.45,84931.45
WV,2019,Q1,2991.99,,744.96,2059.87,0.0,,1554.3
WI,2019,Q1,2235945.1,1666945.01,,16190.0,10104.0,127.71,876761.95
WY,2019,Q1,10092.11,,3599.48,2862.36,,,4375.34
AL,2019,Q2,20602.68,,2377.78,14444.19,0.0,180.46,6834.07
AK,2019,Q2,62073.99,,17835.8,10049.75,,199.01,15575.98
AZ,2019,Q2,56255.51,18572.64,20297.99,13216.0,0.0,715.93,8159.27
AR,2019,Q2,10515.81,,1248.96,5687.83,0.0,,2620.74
CA,2019,Q2,5450121.69,4309228.27,531820.48,111083.43,,2687.24,1370103.77
CO,2019,Q2,5821162.48,4765939.17,415322.02,60245.0,,2517.15,1706065.38
CT,2019,Q2,59618.11,27932.47,13131.92,8848.28,,793.55,21210.55
DE,2019,Q2,,,,3930.66,0.0,,
DC,2019,Q2,9489.35,,,4863.21,0.0,0.0,3617.45
FL,2019,Q2,,,300386.06,48433.4,18418.32,2016.1,584506.42
GA,2019,Q2,4086221.7,3602069.71,149150.66,20712.67,,662.9,903011.62
HI,2019,Q2,22608.29,,9027.99,3115.36,,216.29,7113.43
ID,2019,Q2,11442.35,5021.02,4430.04,4162.85,0.0,,5895.8
IL,2019,Q2,463395.06,340890.77,51574.17,34525.07,,1391.6,91384.2
IN,2019,Q2,57336.22,17370.54,13461.31,15158.31,0.0,209.94,23749.72
IA,2019,Q2,34798.51,7261.32,5007.9,18635.02,,186.82,10888.51
KS,2019,Q2,8786.7,,1862.07,4202.22,,71.78,3668.76
KY,2019,Q2,56285.35,46225.99,7272.03,8251.91,0.0,143.97,31088.25
LA,2019,Q2,54293.8,,,16819.59,,410.75,
ME,2019,Q2,63551.61,19712.79,27623.15,11908.25,0.0,163.82,23307.97
MD,2019,Q2,99434.48,77446.18,20021.4,8890.06,,1089.24,25300.64
MA,2019,Q2,181356.84,94774.62,45613.94,23834.53,,239.28,46790.96
MI,2019,Q2,440544.26,277282.02,102538.75,36191.84,,1436.82,138788.85
MN,2019,Q2,327967.45,273451.76,41202.22,25028.87,,364.58,76928.16
MS,2019,Q2,5707.49,,,3159.42,,,1646.29
MO,2019,Q2,,,,9166.46,,825.9,
MT,2019,Q2,50021.75,18762.6,10994.77,15089.25,,852.11,20318.29
NE,2019,Q2,14781.78,,2542.69,7890.49,0.0,243.28,4944.93
NV,2019,Q2,20759.56,4052.0,6563.71,6677.07,0.0,0.0,5445.31
NH,2019,Q2,,,,12757.82,0.0,283.71,
NJ,2019,Q2,,,,19095.94,,611.13,
NM,2019,Q2,36986.1,15509.41,10787.26,7580.43,,112.13,9539.31
NY,2019,Q2,2576223.43,2205746.12,133930.9,44576.12,,1057.3,631595.08
NC,2019,Q2,366980.46,271973.67,82997.78,44267.81,,790.06,154547.46
ND,2019,Q2,3236.19,0.0,,2756.27,0.0,48.91,1221.29
OH,2019,Q2,4836794.13,4295578.18,339368.5,36600.01,,1046.63,918185.3
OK,2019,Q2,7158.66,,293.93,6178.13,0.0,145.37,2288.33
OR,2019,Q2,455422.92,279213.23,96707.93,38982.16,,1458.02,133343.11
PA,2019,Q2,1783960.84,1382507.82,213083.8,22614.69,,1554.7,470676.03
RI,2019,Q2,27200.85,13588.76,6119.2,6714.71,0.0,,6316.01
SC,2019,Q2,27550.17,5794.98,4727.51,12491.6,,399.46,16094.62
SD,2019,Q2,4406.9,,,3332.74,0.0,,1732.84
TN,2019,Q2,765339.3,637679.39,11054.79,16822.91,0.0,873.72,179714.24
TX,2019,Q2,5187121.12,4511303.89,268562.27,54927.12,,2055.38,1056924.83
UT,2019,Q2,53665.82,29692.01,10804.18,4794.09,0.0,145.92,17933.74
VT,2019,Q2,95613.15,47012.67,17570.41,8281.08,,13.17,21552.55
VA,2019,Q2,4284889.99,3566139.32,314472.39,45636.34,114145.46,350.93,717662.43
WA,2019,Q2,174361.65,53749.7,59330.68,42998.52,,968.06,47222.99
WV,2019,Q2,3527.89,,1102.79,2030.7,0.0,,1738.22
WI,2019,Q2,2925344.0,2385460.0,,21764.0,11309.21,237.13,2624853.0
WY,2019,Q2,14227.3,,5848.0,2676.7,,294.96,3140.5
AL,2019,Q3,19946.14,,2472.43,12707.98,0.0,156.9,7058.28
AK,2019,Q3,45124.01,,14936.89,8288.06,,227.97,
AZ,2019,Q3,52398.36,16334.52,17914.21,12736.5,0.0,625.69,9982.5
AR,2019,Q3,9986.56,,1208.18,4963.13,0.0,42.66,3211.07
CA,2019,Q3,5404249.85,4252067.63,503582.51,113005.56,,4179.33,1264697.23
CO,2019,Q3,5375855.97,4589749.24,388330.22,52039.14,,3172.51,1604657.25
CT,2019,Q3,65965.71,34582.47,14056.9,10049.71,,860.15,22633.36
DE,2019,Q3,,,,4126.78,0.0,205.31,
DC,2019,Q3,4156.47,0.0,0.0,4147.2,0.0,0.0,2209.73
FL,2019,Q3,,,273789.85,42214.62,,1850.88,505545.06
GA,2019,Q3,3490608.71,3115693.75,108957.53,16744.04,,560.6,873924.64
HI,2019,Q3,20846.14,,8929.74,2581.14,,196.71,6781.32
ID,2019,Q3,11914.21,5707.21,4443.54,4312.36,0.0,196.37,6602.62
IL,2019,Q3,433718.54,332421.36,50731.8,34823.06,,1075.13,87006.06
IN,2019,Q3,47382.79,16653.34,13321.1,15038.98,0.0,239.68,21852.03
IA,2019,Q3,34275.57,8398.92,5001.38,17089.78,,221.08,10861.47
KS,2019,Q3,8739.49,,2164.83,4336.18,0.0,217.72,3425.97
KY,2019,Q3,49029.92,42363.76,6966.93,9798.92,0.0,449.71,25786.82
LA,2019,Q3,47125.66,,,15580.95,,257.84,
ME,2019,Q3,66710.96,22110.04,27302.65,14170.22,,203.91,24707.62
MD,2019,Q3,100205.04,84050.63,18155.09,8460.67,,1363.24,20241.6
MA,2019,Q3,139305.98,71720.25,37832.62,26089.24,281.61,243.93,40477.57
MI,2019,Q3,405487.21,247384.12,84641.02,40761.81,,1640.41,134548.85
MN,2019,Q3,533079.69,,42823.85,29241.29,,416.65,105712.47
MS,2019,Q3,5531.66,,,3093.34,,,1413.72
MO,2019,Q3,,,,9154.53,,785.4,
MT,2019,Q3,48439.11,17958.7,10817.47,16043.03,,731.61,13929.43
NE,2019,Q3,14269.35,,2306.09,7650.77,0.0,218.42,5742.38
NV,2019,Q3,20421.22,4493.27,6064.1,5823.95,0.0,0.0,3653.9
NH,2019,Q3,,,,14898.74,0.0,501.9,
NJ,2019,Q3,,,,20908.62,,499.46,
NM,2019,Q3,35724.09,14847.55,9756.92,8281.69,0.0,,15315.05
NY,2019,Q3,2414551.37,2008527.08,126313.2,43134.3,,1363.12,619224.98
NC,2019,Q3,356839.06,255725.61,74584.25,41899.26,,655.56,159955.41
ND,2019,Q3,3264.63,0.0,,2547.42,0.0,42.17,1609.64
OH,2019,Q3,4806037.28,4207824.69,356451.28,39133.7,,1156.77,858338.64
OK,2019,Q3,7479.62,,359.29,5939.73,0.0,199.75,2755.66
OR,2019,Q3,413162.11,253668.46,91820.03,38024.79,688.19,1504.82,124632.93
PA,2019,Q3,1802747.38,1442297.04,226164.68,24391.9,,1776.23,445677.52
RI,2019,Q3,25915.54,12401.75,6308.14,7682.51,0.0,,4257.71
SC,2019,Q3,24155.94,4653.66,3375.42,12587.33,,321.95,16267.56
SD,2019,Q3,5447.83,,,3261.4,0.0,,2175.19
TN,2019,Q3,821762.2,773737.59,7688.46,16947.66,,946.55,172043.71
TX,2019,Q3,5234896.91,4426447.1,256704.75,55026.2,,1824.41,973695.98
UT,2019,Q3,37626.24,19765.65,8602.09,5360.28,,,13384.45
