StateID,Year,Quarter,TotalProd,TaxableBottlesCansProd,TaxableKegsProd,TaxablePremUseProd,TaxFreeExportProd,TaxFreePremUseProd,StocksOnHand
NM,2023,Q2,27295.51,,,7440.44,0.0,,15311.59
NY,2023,Q2,1944723.27,1719844.04,88135.47,40406.67,,1584.25,631789.07
NC,2023,Q2,396229.87,286977.61,58319.81,58679.23,,641.48,89158.37
ND,2023,Q2,3957.32,0.0,0.0,3478.49,0.0,,3054.13
OH,2023,Q2,4755010.49,4157853.49,276559.45,35892.55,,990.4,906703.34
OK,2023,Q2,16696.78,,,11176.53,,,7487.91
OR,2023,Q2,395952.45,238977.18,53042.48,39077.98,,390.84,93733.63
PA,2023,Q2,1918816.3,1196074.73,141396.96,31949.56,,1780.39,536514.8
RI,2023,Q2,24484.44,,,8076.56,0.0,,8568.45
SC,2023,Q2,,,,16457.82,0.0,,
SD,2023,Q2,3730.99,,,3012.71,0.0,,2479.47
TN,2023,Q2,433417.94,346932.98,,23529.06,,628.58,194706.3
TX,2023,Q2,4675359.53,3965305.0,220112.54,49972.67,,1560.66,970093.66
UT,2023,Q2,41628.14,,,9578.99,0.0,,15778.61
VT,2023,Q2,68972.55,37462.2,,9448.31,0.0,,18500.84
VA,2023,Q2,3612263.84,3176275.49,226676.37,39808.46,,791.47,606834.05
WA,2023,Q2,161582.11,62886.44,44960.36,36379.61,,909.02,49875.89
WV,2023,Q2,2985.4,,,2599.82,0.0,,1546.09
WI,2023,Q2,2815207.19,2269517.92,,26569.09,,1443.8,912285.24
WY,2023,Q2,12953.45,,,6588.69,0.0,,5494.7
AL,2023,Q3,11244.38,,,7600.19,0.0,,5808.52
AK,2023,Q3,42983.77,,,8485.24,,,12860.18
AZ,2023,Q3,,,,10427.66,,,
AR,2023,Q3,8311.87,,,3737.71,0.0,,2652.07
CA,2023,Q3,3356869.54,2709943.49,260243.31,103976.42,54828.89,1008.49,989970.13
CO,2023,Q3,5034699.61,4188706.87,333760.55,51122.83,,1653.89,1537594.98
CT,2023,Q3,46043.12,,7020.32,9951.54,0.0,,32821.36
DE,2023,Q3,,,,3255.74,0.0,,
FL,2023,Q3,,,180790.35,36221.06,,1842.7,463044.04
GA,2023,Q3,3719114.09,3232211.6,95056.91,28182.7,,533.45,763638.13
HI,2023,Q3,21738.72,,,,,,
ID,2023,Q3,10130.54,,5700.38,2932.78,0.0,,6122.87
IL,2023,Q3,371006.85,335588.19,26968.45,30211.1,,658.51,79784.3
IN,2023,Q3,34915.48,,7916.84,12098.73,0.0,,31621.66
IA,2023,Q3,43536.12,,,10324.78,0.0,,21629.93
KS,2023,Q3,7552.19,,,3369.83,0.0,,3370.22
KY,2023,Q3,49314.51,,5852.35,5726.42,,,27825.47
LA,2023,Q3,36968.09,,,16498.24,,,21429.66
ME,2023,Q3,70115.26,,22995.35,23904.83,,,22732.59
MD,2023,Q3,31970.35,11933.53,6388.19,11494.68,,893.5,14620.75
MA,2023,Q3,137875.59,87829.33,26651.55,17761.8,,345.08,43248.8
MI,2023,Q3,301273.7,202030.7,48051.05,42065.1,,1742.1,122217.59
MN,2023,Q3,483559.07,403667.89,28577.32,25565.54,,394.42,74541.03
MS,2023,Q3,,0.0,0.0,,0.0,0.0,
MO,2023,Q3,,,,10302.8,0.0,,
MT,2023,Q3,44820.23,,9322.58,15771.63,0.0,635.47,14966.92
NE,2023,Q3,12318.21,,,8877.84,0.0,,3734.41
NV,2023,Q3,13699.91,,,6651.8,,0.0,3177.1
NJ,2023,Q3,990759.48,,,24821.89,,,
NM,2023,Q3,23105.68,,,4816.76,0.0,,5152.42
NY,2023,Q3,1735697.7,1524531.57,90095.96,37474.15,,1341.93,570219.06
NC,2023,Q3,419498.99,301041.31,61469.62,44274.13,,595.33,151889.77
ND,2023,Q3,3992.44,0.0,0.0,3264.91,0.0,,3408.81
OH,2023,Q3,4574790.01,3995356.58,280709.19,32510.11,0.0,935.46,849406.9
OK,2023,Q3,17507.73,,,9192.54,0.0,,6089.78
OR,2023,Q3,382117.28,235100.35,54169.08,40272.73,,350.15,75724.95
